lags,word_pairwise_accuracy,whisper_pairwise_accuracy,multimodal_score
-1000,0.5129935408011079,0.5727720580317757,0.5412371997003803
-800,0.5061571469530464,0.5911208700953108,0.5453495804403035
-600,0.5202247617766261,0.6352150376999017,0.5719979384716961
-400,0.5288570772856473,0.6741772366292549,0.5927402050170989
-200,0.5445113616064191,0.719615490328182,0.6199359025907961
0,0.5675184931606054,0.758532890587142,0.6492681178946879
200,0.5867589432746172,0.7881149992798313,0.6726922517669229
400,0.5930221430957318,0.7892920931180318,0.6772232772071201
600,0.5749756805598736,0.7296798400806659,0.6431554628845128
800,0.5655285101383924,0.7055881180546502,0.6278419907731683
