lags,train_bce_mean,train_bce_std,train_bce_fold_1,train_bce_fold_2,train_bce_fold_3,train_bce_fold_4,train_bce_fold_5,train_roc_auc_mean,train_roc_auc_std,train_roc_auc_fold_1,train_roc_auc_fold_2,train_roc_auc_fold_3,train_roc_auc_fold_4,train_roc_auc_fold_5,train_sensitivity_mean,train_sensitivity_std,train_sensitivity_fold_1,train_sensitivity_fold_2,train_sensitivity_fold_3,train_sensitivity_fold_4,train_sensitivity_fold_5,train_specificity_mean,train_specificity_std,train_specificity_fold_1,train_specificity_fold_2,train_specificity_fold_3,train_specificity_fold_4,train_specificity_fold_5,train_f1_mean,train_f1_std,train_f1_fold_1,train_f1_fold_2,train_f1_fold_3,train_f1_fold_4,train_f1_fold_5,train_precision_mean,train_precision_std,train_precision_fold_1,train_precision_fold_2,train_precision_fold_3,train_precision_fold_4,train_precision_fold_5,val_bce_mean,val_bce_std,val_bce_fold_1,val_bce_fold_2,val_bce_fold_3,val_bce_fold_4,val_bce_fold_5,val_roc_auc_mean,val_roc_auc_std,val_roc_auc_fold_1,val_roc_auc_fold_2,val_roc_auc_fold_3,val_roc_auc_fold_4,val_roc_auc_fold_5,val_sensitivity_mean,val_sensitivity_std,val_sensitivity_fold_1,val_sensitivity_fold_2,val_sensitivity_fold_3,val_sensitivity_fold_4,val_sensitivity_fold_5,val_specificity_mean,val_specificity_std,val_specificity_fold_1,val_specificity_fold_2,val_specificity_fold_3,val_specificity_fold_4,val_specificity_fold_5,val_f1_mean,val_f1_std,val_f1_fold_1,val_f1_fold_2,val_f1_fold_3,val_f1_fold_4,val_f1_fold_5,val_precision_mean,val_precision_std,val_precision_fold_1,val_precision_fold_2,val_precision_fold_3,val_precision_fold_4,val_precision_fold_5,test_bce_mean,test_bce_std,test_bce_fold_1,test_bce_fold_2,test_bce_fold_3,test_bce_fold_4,test_bce_fold_5,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_fold_1,test_roc_auc_fold_2,test_roc_auc_fold_3,test_roc_auc_fold_4,test_roc_auc_fold_5,test_sensitivity_mean,test_sensitivity_std,test_sensitivity_fold_1,test_sensitivity_fold_2,test_sensitivity_fold_3,test_sensitivity_fold_4,test_sensitivity_fold_5,test_specificity_mean,test_specificity_std,test_specificity_fold_1,test_specificity_fold_2,test_specificity_fold_3,test_specificity_fold_4,test_specificity_fold_5,test_f1_mean,test_f1_std,test_f1_fold_1,test_f1_fold_2,test_f1_fold_3,test_f1_fold_4,test_f1_fold_5,test_precision_mean,test_precision_std,test_precision_fold_1,test_precision_fold_2,test_precision_fold_3,test_precision_fold_4,test_precision_fold_5,num_epochs_mean,num_epochs_std,num_epochs_fold_1,num_epochs_fold_2,num_epochs_fold_3,num_epochs_fold_4,num_epochs_fold_5
-1000,0.5589429102445903,0.10098038112266118,0.4848973327561429,0.703587597922275,0.6294157395237371,0.5579169682766262,0.41889691274417074,0.7760240997040666,0.14292062389617954,0.8868697712497994,0.5319589584180259,0.7077526541171555,0.8252104513788229,0.9283286633565297,0.7288021685698199,0.12234892740792351,0.7507178766456509,0.5235211514175178,0.6803221722653306,0.8059996803921307,0.8834499621284697,0.688977853863588,0.12389273792369891,0.8469699677099465,0.5202012639380246,0.5924138704161518,0.6785679263569521,0.806736240896865,0.6983275702415429,0.1087611702455617,0.7781360447156109,0.5204914265788804,0.63750112523184,0.7285982291617472,0.8269110255196361,0.7259768485663362,0.1263310813559807,0.8567345172027836,0.5270944419357734,0.6437476887575542,0.750749685565415,0.8515579093701549,0.7271568788931921,0.023035843285362772,0.7587281282131488,0.6906442596362188,0.7144515560223506,0.734218533222492,0.7377419173717499,0.5633438925939374,0.015258327096251377,0.5802741881218527,0.5638692510272798,0.5611351686388153,0.5362774478562835,0.5751634073254549,0.561110669714504,0.07383635577944939,0.5627954304037895,0.6794315720399311,0.5085860905520347,0.5914820731384199,0.46325818243834443,0.5733884506776862,0.08374823774279054,0.6126390201050835,0.45972726368653966,0.5883495903292283,0.5066289730882491,0.6995974061793304,0.5704115654136678,0.015068489225516275,0.5969821251981168,0.5677215094987855,0.5570737842771986,0.5554295170823494,0.5748508910118884,0.5812593427559724,0.0143080074758546,0.59830244541783,0.5696028145886809,0.5782900554098666,0.5629405401166535,0.5971608582468311,0.7534454574951759,0.03855576650852436,0.8155320103351886,0.7093375325202942,0.748341862971966,0.7194076088758615,0.7746082727725689,0.514315356078313,0.03757512756162804,0.48717885343049083,0.47647562166588275,0.4892999279966415,0.5697081651421598,0.5489142121563904,0.5379003397614972,0.10104502808311756,0.5715654772930315,0.6322553177816336,0.47831686452786715,0.6362005234980942,0.37116351570685946,0.4491375708385711,0.13486460686013738,0.3312300695784859,0.3208481186987975,0.5066250765851862,0.403008296643686,0.6839762926866999,0.501543087624254,0.015607830122682749,0.4865764484600997,0.4797835833822719,0.5069318771802741,0.5177075300800881,0.5167159990185362,0.5102418712468982,0.022114186015655162,0.5108034940784975,0.5091080045929545,0.47744999602287047,0.5067782644705722,0.547069597069597,6.8,4.578209256903839,11,1,3,6,13
-800,0.5714507741363425,0.1253380148683589,0.6660602108428353,0.4016098717325612,0.6447100388376337,0.43942870278107493,0.7054450464876074,0.7441992549545444,0.1581503946462067,0.6328687738752203,0.9398865381295849,0.6776403666141514,0.9220906609651254,0.5485099351886406,0.6857178193840758,0.15060808868139502,0.5440694281864642,0.9027647062802676,0.7070823256684499,0.7806931853993158,0.49397945138588145,0.6899829456929832,0.12921292634274076,0.6589393230382313,0.7933118929890564,0.544150797082808,0.8814621115898205,0.5720506037650002,0.6786189318351517,0.12934659239714877,0.5863189802193476,0.8443636309289618,0.6077859021128584,0.8233291505709199,0.5312969953436701,0.706609849581375,0.11862936063929966,0.6363885903624378,0.8116373425471928,0.6400319833878578,0.8797621528933653,0.5652291787160207,0.724114530820113,0.030760332125839375,0.6848568549522986,0.7666830970690801,0.7039752694276663,0.7529070789997394,0.7121503536517804,0.568690794900272,0.03786428821928927,0.6118713610471321,0.5682374895271567,0.5909388795213546,0.5729310394412949,0.49947520496442116,0.587177564305452,0.04285921391764673,0.5766460577606088,0.6497109830314165,0.5221664171741571,0.6143237739212972,0.5730405896397799,0.555199826634692,0.06835737983321656,0.6047186724788535,0.5208592312664712,0.6480386631970343,0.5525691440284201,0.44981342220268156,0.575835174387509,0.03414658073876232,0.5998879084861921,0.5935948397825814,0.5880489967948255,0.5896106118539476,0.5080335150199983,0.5795009405867839,0.04621787442228169,0.6105947844724934,0.5831733942495304,0.6163299935358759,0.5974657954566472,0.4899407352193729,0.7623542574735789,0.04295598080779071,0.7184560069671044,0.8083125994755671,0.7740898040624765,0.8052257712070758,0.7056871056556702,0.5010067336702398,0.02360254303399173,0.5251873501849315,0.496692503068463,0.4683982183784965,0.48460073547222277,0.5301548612470856,0.5636901760002498,0.07416342086531733,0.6274944683226417,0.6582666602403445,0.4637275313001676,0.4971548694220759,0.5718073507160194,0.43274522657887743,0.043232658460593036,0.3948282423961157,0.3817391507436756,0.5044061416739436,0.44467165564450634,0.438080942436146,0.509320687412515,0.023965583227082792,0.5458706498489707,0.5236589033945352,0.49300388208566975,0.47676356264655734,0.5073064390868421,0.5137567185667459,0.03385669609059178,0.5551751159366067,0.5464499834496314,0.4831191565175847,0.4689611858729507,0.5150781510569555,6.8,6.49307323229917,2,17,2,12,1
-600,0.542060629788198,0.10423198520416398,0.5012060043058897,0.7014566565814772,0.41858745719257157,0.4671070269848171,0.6219460038762343,0.7900938191343718,0.14361697965813186,0.87520133776979,0.5353021292189275,0.9195606522568622,0.8920459706334574,0.7283590057928215,0.7629181915518357,0.13620953057382487,0.856783295566983,0.5231583553496346,0.8891070176948863,0.8447154392689672,0.7008268498787076,0.6896999645702189,0.0956661824402127,0.7129159965195488,0.5361035519755172,0.78306730859892,0.7863947391617672,0.630018226595341,0.7114993123850264,0.11680553997946173,0.7649285288205899,0.513012038286735,0.8178946726956889,0.8141925735951271,0.647468748526991,0.7314804815966428,0.09825369804371238,0.7687457108964486,0.5581817248979545,0.8260541690444331,0.8115574654691895,0.6928633376751882,0.7324479249807505,0.025831420358346527,0.7459851411672739,0.6854518560262827,0.7241979287220881,0.7551117952053363,0.7514929037827712,0.553167089225935,0.023873460348078142,0.5418323736831492,0.5701684967938838,0.5806958271462469,0.5602694503407472,0.5128692981656485,0.5414076154323832,0.09159999353134964,0.5709549867057608,0.43944329234576923,0.6421509003552347,0.6275754603153985,0.42691343743975324,0.5601701041674845,0.0696341823425144,0.5139017342637252,0.6926922248189216,0.5524598202200013,0.4944622622224432,0.5473344793123311,0.5573178725952649,0.036817818432156944,0.5495589872175465,0.5639070314274114,0.6080515782445521,0.5704300683024363,0.4946416977843779,0.5577287037312975,0.04349306162157415,0.5481825232003847,0.5756761513340461,0.6110121697645124,0.5732725458311002,0.48050012852644425,0.7771052764012263,0.0593638342615354,0.8141306501168472,0.7028210254815909,0.8255518216353196,0.8360158846928523,0.7070070000795218,0.49182292831454094,0.061253523394558265,0.47812570878553845,0.5037527241816954,0.4428455167503899,0.4313357780436997,0.6030549138113811,0.4965721376962149,0.07283065874928275,0.6065837986116626,0.3864934772829509,0.48281752481859647,0.5352393557859145,0.47172653198194997,0.48585068731115405,0.11594425673098675,0.35412764083578563,0.6054343595067576,0.45043101430336485,0.38083065157963947,0.6384297703302229,0.4965495193165449,0.03388148058988321,0.49818782007904916,0.49120172141941904,0.4835976098055602,0.4529093776039325,0.5568510676747638,0.5137629797862048,0.05124094665180835,0.5308425286443861,0.5262105792648779,0.4636677649835545,0.4534762466859654,0.5946177793522399,7.0,4.147288270665544,10,1,11,10,3
-400,0.4434618904402381,0.11221730918532467,0.541205283058317,0.4166248072134821,0.34494804590940475,0.6032169461250305,0.3113143698949563,0.8894625607972408,0.08574334127692292,0.8365515079331507,0.9312726761562334,0.9625104470446958,0.7467813613335906,0.9701968115185332,0.8067746254600671,0.1219198802466592,0.7928921642106018,0.8662324472370097,0.8577234190522885,0.5805517451832836,0.9364733516171513,0.8051040808945731,0.08871150884456036,0.6868912888751574,0.8122052819991555,0.9242981381770692,0.7266179643053523,0.875507731116131,0.8001119220866764,0.09799276343271535,0.7345273063607826,0.8297404706322764,0.8864661789646475,0.6443244103056299,0.9055012441700455,0.8111962747118362,0.08765843794365671,0.7210343164249797,0.8181271677646129,0.9236275798052724,0.7039255894875499,0.8892667200767657,0.8289384608085338,0.1214896084105316,0.7244389332257785,0.7843721921627338,0.8421404384649717,0.7364201591565058,1.0573205810326796,0.5308558430113787,0.05111763403232575,0.5497480042920551,0.5445162130074089,0.5436215042036369,0.58346862628388,0.43292486726991225,0.6054147974224182,0.06315890382531733,0.6026910610888939,0.6911620199545896,0.6602250003178796,0.5300944583452323,0.542901447405496,0.48439162938091257,0.07095913733568104,0.503759067729656,0.426764650633429,0.4816695119862539,0.6064523146536721,0.40331260190155166,0.548971862464665,0.03591387963237913,0.5572636719882542,0.5603366435630805,0.5782400151906706,0.570322596867565,0.4786963847137544,0.5540131344196909,0.04477874042272155,0.5621075329898859,0.5549079892901403,0.5857555370326268,0.5973742390418981,0.4699203737439031,0.8156672679460965,0.05529426286507528,0.7537701221612784,0.7581779039823092,0.8981654460613544,0.8158813760830805,0.8523414914424603,0.5112657472540778,0.0455758000615733,0.5132664243901666,0.5819300243761425,0.48056435306692075,0.44806265036249115,0.5325052840746681,0.5719167684343918,0.10443779514150993,0.6378026514249425,0.6794020307178202,0.5991079413560956,0.37732163248357575,0.5659495861895243,0.4224432827499033,0.06778611043306118,0.37248199889602607,0.40097187879993307,0.3583689289065569,0.5482098658003635,0.4321837413466373,0.5054235402043219,0.027723432311790898,0.5290406781845899,0.5400589095056525,0.48861584537381664,0.46297291916893474,0.506429348788616,0.5135629709087934,0.043305256088066776,0.5570908972796845,0.558551029107295,0.4924227127060099,0.4428516995824688,0.5168985158685088,14.0,8.148619514985345,7,14,23,3,23
-200,0.5538890510797501,0.10405094834679988,0.5993834875131908,0.653502134900344,0.3590448059533772,0.5404211494483446,0.6170936775834936,0.7844898597611064,0.09718903907654855,0.7706773557141333,0.6698821806924429,0.9511985097814005,0.8172015028948385,0.7134897497227168,0.7369911301381412,0.08721447215770886,0.7422839106876505,0.6430093948517039,0.8865601907326282,0.7562860907491837,0.6568160636695398,0.6649142899991034,0.10593583353364013,0.6462559302627742,0.5409516073022265,0.8582525036792186,0.6689779956206956,0.6101334131306025,0.6959012688273991,0.09431898964342579,0.679382535781506,0.5896032297179378,0.8662445385581892,0.7092998542809742,0.6349761857983888,0.7040313924967346,0.08734684758742309,0.6983430845650208,0.5956692240914989,0.8569431574391243,0.7180337767350968,0.6511677196529323,0.763702598443398,0.05433384646624762,0.6999117915446942,0.7112565086438105,0.8344373267430526,0.7556125613359305,0.8172948039495028,0.5309894984029822,0.06363370064341423,0.5956596118978531,0.5468015027190203,0.5622762530512143,0.5406374770004875,0.409572647346336,0.5300414185190323,0.19525263102153972,0.801336275523582,0.3713211839759827,0.663781213626415,0.5545378726880276,0.2592305467811541,0.5460779428557471,0.10989104720026188,0.40772221117243745,0.7263665130746578,0.4812994132564269,0.5112584185547986,0.6037431582204147,0.5341965120903925,0.056100316484935235,0.593473468920951,0.5350981428396704,0.5737235546342637,0.5376759741597554,0.4310114198973223,0.5533511499518364,0.08764325594382914,0.5938290178901039,0.6402172990408285,0.5891700891700892,0.5572928977963303,0.3862464458618305,0.7775741315804996,0.08987685176172973,0.7084671075527484,0.675157721226032,0.9108575674203726,0.8542645986263568,0.7391236630769876,0.5150565923025512,0.0782336228415434,0.5672428862340151,0.6146281472077049,0.4642365476998723,0.3928670592666113,0.5363083211045523,0.5146982360384361,0.1400121697424782,0.7244370037713691,0.4121802904697641,0.6321301069336317,0.4497643887826074,0.3549793902348082,0.4784021363516482,0.18436314873411913,0.2794310578812841,0.7290248150542269,0.349144993822298,0.36256190423849394,0.6718479107619378,0.4947873784484752,0.04383041213259765,0.5114386250068592,0.5504071829847704,0.49170278937824413,0.4164231495238169,0.5039651453486855,0.534884954752884,0.0790749308189182,0.5532071091171603,0.6431952662721893,0.4936503037241308,0.408967333499572,0.5754047611513675,7.0,7.127411872482185,5,2,21,5,2
0,0.5942291640921642,0.06625495999373328,0.6213620587399131,0.6985500909780201,0.5873655433717527,0.5674381514913157,0.4964299758798198,0.7322535567026414,0.10542793485209927,0.7240719477890529,0.5388992672387447,0.7607149443675992,0.7846222333616293,0.8529593907561805,0.647803601203462,0.07743323729927082,0.5941028760586363,0.5209067327671694,0.7112748972595876,0.7136144352587648,0.6991190646731522,0.6785268264133009,0.07907472958477914,0.6720846741927892,0.5509745117238599,0.6764284691916272,0.6932443603099053,0.799902116648323,0.6545509053326684,0.07794861375546655,0.6282906651993451,0.5164976554307316,0.6884341437481641,0.6976579692947843,0.7418740929903166,0.6798034365874924,0.08534859994386997,0.6468688432310725,0.5404847081113985,0.6948021013576253,0.7175770719603213,0.7992844582770445,0.7436062106719384,0.061575609732489746,0.7181307994402372,0.6754731031564566,0.7149413044636066,0.7529279177005475,0.856557928598844,0.5317082326221779,0.0569507121780662,0.5391028972854632,0.6020722009807953,0.555806565840949,0.5329477403079378,0.4286117586957445,0.621787194177049,0.1284397061552721,0.8071399833396738,0.5822914100003883,0.6903413236230574,0.6117476735510792,0.41741558037104604,0.4778260675182562,0.10792840469410828,0.3147332996314897,0.6141823297366285,0.41350449449996957,0.47453211067464457,0.5721781030485484,0.5432154054210377,0.03688078078680405,0.5391689070237932,0.5957779265750196,0.5493431148653336,0.5511869496149153,0.48060012902612653,0.5594074572209161,0.044675677063705316,0.5555924061406947,0.6309069221905611,0.5580117682231022,0.5626897816142666,0.4898364079359554,0.7739089411038619,0.05042190384731996,0.7879681495519785,0.6764786656086261,0.7876238822937012,0.8230099586340097,0.7944640494309939,0.48307632640286247,0.07023064301295118,0.42228937349073836,0.6052660443577552,0.45388394496106155,0.4186731753715707,0.5152690938331865,0.5824741457505211,0.10257128846885016,0.6702256206126176,0.6681527536790696,0.6389664723226287,0.5305195310762112,0.4045063510620786,0.38961697203064194,0.1771635121001699,0.12058410418138925,0.5297422411675805,0.3370238742232074,0.32923246377342597,0.6315021768076067,0.48459077699139186,0.0712104592953307,0.39820903828051707,0.6025897379299884,0.4825690720180501,0.4277986533363729,0.5117873833920309,0.5118391241125684,0.0631428206313869,0.4845117894256887,0.6187472331589979,0.492402241633011,0.4289821626866161,0.5345521936585285,4.0,1.8973665961010275,4,1,4,4,7
200,0.4971598101289649,0.07661208167426017,0.474889506634913,0.6352794484088296,0.48726157608785126,0.3991106450557709,0.4892578744574597,0.8528735298060939,0.07443018793174128,0.8948447577627525,0.7110051691990678,0.8744064879021138,0.9257966043917293,0.8583146297748063,0.7763579880511394,0.04100673682684117,0.7716927371553005,0.699448920762532,0.8008009273193811,0.8159131866042817,0.7939341684142024,0.7600107994046401,0.10207550436109981,0.8527536189300897,0.604425032221594,0.7345502362591331,0.8900167513944605,0.7183083582179233,0.7622019614083484,0.06459838190399007,0.7934041585206671,0.6498138307769047,0.7659284986025184,0.8470088751585193,0.7548544439831326,0.7815916729740668,0.08766852121785303,0.8639719499626622,0.6450896729463214,0.7573518120935427,0.8891526603183358,0.752392269549472,0.7744466506517851,0.06531235142487729,0.737255220229809,0.6749606407605685,0.7711297090236957,0.8335435665570773,0.8553441166877747,0.5451884295243206,0.040851454934389346,0.5838781058982297,0.5961500408718124,0.5373059078368378,0.5248592193930742,0.4837488736216484,0.5651429674953132,0.01031227250872225,0.5627233834277178,0.5483135930117354,0.5773444305952046,0.5627963110161253,0.5745371194257834,0.5097783769378197,0.06875732763909399,0.5656980149061597,0.6015364725771964,0.47220792656313015,0.5027765346769871,0.4066729359656247,0.538365311682019,0.04014070126205996,0.5738222944349479,0.5770836219051699,0.5352270242026016,0.5400428933600234,0.46565072450735223,0.5494089381108185,0.04046080135969087,0.5794199420523494,0.595748493521773,0.5430485793875887,0.550797894915542,0.4780297806768395,0.8068420584385212,0.06651471933755944,0.8379282034360446,0.6997509002685547,0.7705956743313715,0.8951561588507432,0.8307793553058918,0.49164771389970097,0.04444326998575545,0.4367867463933864,0.5397820216361461,0.512377097393061,0.4398041931788806,0.5294885108970309,0.5105895731199375,0.052983707876044166,0.5365616467009656,0.42410031488978855,0.516405210055484,0.49129554655870444,0.5845851473947449,0.45826858073523946,0.09445313232240612,0.3838038407042932,0.6196409108739426,0.4997670131064987,0.3549837873486361,0.43314735164282675,0.4922814197949159,0.0372647573171152,0.49151242028601444,0.5073654314932925,0.5267063237433722,0.42131570979549376,0.5145072136564065,0.5107816694537911,0.04867573065176268,0.5256830644988539,0.564471620909748,0.5183962415029335,0.4189185083921926,0.5264389119652277,8.8,3.370459909270543,11,3,9,13,8
400,0.5910812285385634,0.06376754811066096,0.6203121542930603,0.5471700445601815,0.6906926977007013,0.503783927936303,0.5934473182025709,0.7547368819958914,0.09956839592416598,0.7362499631377825,0.8398290437140927,0.5772871502459326,0.8568240357574317,0.7634942171242173,0.6955724687984735,0.1084462959778775,0.5959293622433186,0.7831179430316616,0.5438427405746535,0.8263145442700496,0.7286577538726834,0.6620319250636696,0.06588671875929335,0.6952111590137092,0.7206486317449047,0.5457409066817165,0.7151751440491868,0.6333837838288305,0.6721225264891919,0.07815375160044305,0.641229298541347,0.7425144087166514,0.540446518264309,0.7572223069923703,0.6792000999312822,0.6877306027836843,0.07289431740326432,0.6768439607242115,0.7400705374285088,0.5630429902206671,0.7778191103747157,0.6808764151703186,0.7428978333106409,0.04940220574188964,0.7109977740507859,0.722876067344959,0.7239400927837079,0.8412385399524982,0.715436692421253,0.5220242007354268,0.03403242277152441,0.5597023038409753,0.5537820886791625,0.4928457094979259,0.47273118672279935,0.5310597149362704,0.5523312613929428,0.02361244814807455,0.577454678963967,0.5830578949773997,0.5382257061823625,0.539889857304718,0.5230281695362666,0.4860805570022051,0.05068220011287168,0.5727832059845634,0.4952424460908625,0.4426500284531959,0.4283892452444488,0.49133785923795453,0.520024286445734,0.03038150499473439,0.575290704502163,0.5290302290336861,0.5060004071933979,0.4981071575073859,0.49169293399203706,0.527602024338851,0.028177249522683998,0.5695644661231706,0.5462265106576123,0.527924269087279,0.4990184579253405,0.49527641790085225,0.7586465248694786,0.044730901442081486,0.7850685027929453,0.7242749195832473,0.7235900530448327,0.834789399917309,0.7255097490090591,0.484763373037032,0.03360788407091456,0.4328011194623781,0.537903142262067,0.4787601807212132,0.4810176160285561,0.4933348067109454,0.5412644106398572,0.026786690987357628,0.5341116113561934,0.5374028018764861,0.5131662683192809,0.592182749773843,0.5294586218734826,0.45095707830049336,0.06200227313975708,0.39918392944411046,0.5535695701985295,0.4440566587893332,0.3789941337274036,0.47898109934309024,0.5046747986324743,0.020910450103302843,0.501334162093436,0.5376756603448025,0.4970142754975323,0.47385903441478244,0.5134908608118184,0.5001918716888015,0.026352526352030052,0.5213733147943673,0.5302018243194714,0.4713320779816943,0.46621390813610486,0.5118382332123699,4.8,2.4819347291981715,4,7,1,8,4
600,0.5273398942069003,0.07524923705697201,0.5352594797548494,0.3998402082606366,0.5468506381699914,0.5199039649022253,0.634845179946799,0.8284619020158438,0.07637571293198805,0.8355705209461115,0.9416925717219984,0.8219626004381893,0.8414436908542209,0.7016401261186987,0.7436289962006926,0.05033022510819716,0.7141864215709336,0.808054658755327,0.7575620910149184,0.775106577718807,0.6632352319434773,0.7539760153492965,0.09833064419425074,0.7824644537156761,0.9246986844645115,0.695558842737839,0.7338916952500544,0.6332664005784017,0.7365223043315441,0.0688567209298926,0.7283385522905783,0.8491565638682989,0.7223978720646672,0.749125564621807,0.6335929688123696,0.7559250693424736,0.07704342881432347,0.7498068965235336,0.889624872009384,0.7273777418739198,0.7613921609685013,0.6514236753370288,0.7860975733170142,0.011884633508990019,0.7772365808486938,0.7816575857309195,0.8017900494428781,0.7715063324341407,0.7982973181284391,0.5051081130160228,0.02145135988212953,0.5209589972712517,0.5120896579473027,0.5229265792761194,0.5054837076879155,0.46408162289752397,0.5007062423036465,0.10922122463612847,0.6663918382958631,0.45873316999478,0.3539734517288697,0.577933366942655,0.4464993845560648,0.5329412571630958,0.1009769211545097,0.3981317576340201,0.5505295609368008,0.6842715981856256,0.44874446820148184,0.5830289008575504,0.5160306228538575,0.009164109235155968,0.5313367308634224,0.513320317187359,0.5074768522673034,0.5209718548006688,0.507047359150534,0.5144551966258119,0.029487194814851157,0.5370927410185723,0.49203245750042607,0.5420745920745922,0.5335686372451078,0.46750755529036075,0.7845387467971214,0.03463341134140489,0.7394787944280184,0.7792822076724126,0.8456229796776404,0.770492319877331,0.7878174323302048,0.5080527151718581,0.04050843902001406,0.5823527746159995,0.5174438441650502,0.46707331097364435,0.48519412595438877,0.48819952015020784,0.5123670393228621,0.15322583822693192,0.7564894828826716,0.5283561467771994,0.35109731302277153,0.578372706915217,0.347519547016451,0.49512585321587466,0.11933054329504965,0.3311501721003983,0.5001922725339015,0.6125834295100787,0.3941352285749762,0.6375681633600186,0.506513982056068,0.03426635408612003,0.5684324388147032,0.5170322795515285,0.48613690657255176,0.4716508261901494,0.4893174591514068,0.523159062114885,0.042922992284195036,0.5854287490658728,0.5382013340453239,0.47157689198949015,0.477764172457267,0.5428241630164707,7.4,3.8781438859330635,8,14,6,7,2
800,0.5895977551999845,0.12726515488939655,0.6361009133489508,0.6956324812613035,0.6862326452606603,0.5816183011782797,0.34840443495072815,0.710894840879299,0.14442331811970932,0.6999939648663577,0.5499706243923262,0.5832647970005775,0.7680240179338886,0.953220800203345,0.6660377566618843,0.13492899792785695,0.6933714083655016,0.5064781376038913,0.5813022118332125,0.6439303999369992,0.9051066255698172,0.668664771877723,0.13018527381386794,0.5774164339363133,0.5743978094956834,0.546366314510359,0.7715964566094925,0.8735468448367667,0.6540388005031748,0.1226737807993632,0.6195401152384477,0.538067545162771,0.5487247118175074,0.6902765762067314,0.8735850540904162,0.6713031690677513,0.11422886217026139,0.6134455844023967,0.5514674770398252,0.5882744472078248,0.7439956212065958,0.8593327154821141,0.7619132757186889,0.0816806295821184,0.7169824471840491,0.6946487151659452,0.7169601504619305,0.761599274782034,0.9193757909994859,0.5052287449607495,0.013897195687224376,0.5145284049117179,0.5246680064852919,0.49278483275063556,0.4867449677540249,0.5074175129020776,0.4796299648460877,0.09619875505222267,0.5646317820466427,0.5902289145323201,0.36297570678375635,0.369131805586914,0.5111816152808056,0.5643116238502045,0.10268582984976309,0.470357640097459,0.45920633539411815,0.7020357156669375,0.6724340327847115,0.5175243953077961,0.516484491876733,0.00812255076823159,0.5234127273455655,0.5274274363143127,0.5143742302674345,0.5045129327298183,0.5126951327265339,0.5256540818869945,0.02138441396784299,0.5207085312348471,0.5228494312704839,0.5599337628183781,0.5314568287418966,0.4933218553693666,0.7522121970470136,0.07319360062848254,0.7020863569699801,0.6836245793562669,0.7250272723344656,0.7611791033011216,0.8891436732732333,0.5147680545063106,0.05240729403991571,0.5728535036592014,0.5831891085078228,0.4716989654288713,0.4861148524537501,0.4599838424819075,0.5158566491502905,0.13589396950948637,0.6771134252171405,0.6857512370670267,0.4112208195472068,0.42339113315833965,0.38180663076173904,0.5021306613394014,0.07723222775705765,0.4625767771695373,0.38553079650364713,0.596125374783984,0.5773529462651873,0.4890674119746518,0.5152058641446494,0.04588915150085952,0.5797986612247011,0.5428697839604749,0.5098835427405161,0.5016086142415225,0.44186871855603216,0.5118164653339902,0.0582406123528187,0.6019555923141922,0.5495535445993112,0.491284356668972,0.4829209189503307,0.4333679141371448,5.4,6.406246951218787,3,1,1,4,18
