train_cross_entropy_mean,train_roc_auc_multiclass_mean,train_f1_mean,val_cross_entropy_mean,val_roc_auc_multiclass_mean,val_f1_mean,test_cross_entropy_mean,test_roc_auc_multiclass_mean,test_f1_mean,num_epochs_mean,train_cross_entropy_std,train_roc_auc_multiclass_std,train_f1_std,val_cross_entropy_std,val_roc_auc_multiclass_std,val_f1_std,test_cross_entropy_std,test_roc_auc_multiclass_std,test_f1_std,num_epochs_std,lags
1.4493253394177086,0.5375077937632504,0.0,1.4607677347958088,0.528518944499336,0.0,1.4576567828655242,0.5110817334548771,0.0,9.8,0.008990462126136167,0.005160736261489191,0.0,0.005913430190663391,0.007385970953918373,0.0,0.010842663201958641,0.013750638806164875,0.0,5.844655678480984,-1000
1.4468330102217823,0.5540173519093236,0.0,1.462911981344223,0.5158118578105176,0.0,1.4612877808511258,0.5073839491696052,0.0,11.6,0.018392004322134496,0.014564156746885907,0.0,0.005192485989689593,0.006694686055478093,0.0,0.008423734827990342,0.010861647348274715,0.0,14.718695594379279,-800
1.4287956905364991,0.554294736700697,0.0,1.4575936287641524,0.5245558023041041,0.0,1.4569864690303802,0.5071342176210191,0.0,26.0,0.023283539302303903,0.020811905364182853,0.0,0.004405130167310789,0.0032620582644231596,0.0,0.0041153765437660726,0.00426010569604424,0.0,23.477648945326703,-600
1.417893199920654,0.5566078557703673,0.0,1.4561105437576771,0.5189783607592194,0.0,1.454481089860201,0.49759465271163117,0.0,33.2,0.013249235216296696,0.013041627487353331,0.0,0.005065859807364844,0.004141676651634803,0.0,0.007886055715049332,0.00940350229230565,0.0,16.880758276807352,-400
1.4091024426410073,0.5687932898434447,0.0,1.456008391827345,0.5273064295679519,0.0,1.4518512807786466,0.5183148126439543,0.0,43.6,0.019680144204531003,0.018382514262903042,0.0,0.0044143634616045715,0.005148837541842855,0.0,0.007300091222419869,0.013398323927024962,0.0,29.74962184633613,-200
1.4096576640480445,0.5674768175659898,0.0,1.4464472867548466,0.5337711399638093,0.0,1.4499140933156014,0.5191354845308419,0.0,29.4,0.013852687898087149,0.013256219040630034,0.0,0.0034720815865877017,0.003455128019759606,0.0,0.004906788235001165,0.013722815876487906,0.0,15.447977213862014,0
1.4004708435660915,0.5835661152387881,0.0,1.447990383952856,0.5523288762219035,0.0,1.4491181559860706,0.5268835086735463,0.0,48.6,0.03009410786239179,0.02770866263143938,0.0,0.005375301963935016,0.008909553624618741,0.0,0.005557705224919047,0.010434954796513908,0.0,40.32666611561139,200
1.427657305817855,0.5623628298100275,0.0,1.4490300700068475,0.5507324559615112,0.0,1.449357421696186,0.5287348623762214,0.0,16.8,0.03343037209011972,0.025256231418417246,0.0,0.009290115566703384,0.006438037902156776,0.0,0.006131349602295997,0.008307736604885494,0.0,14.496896219536097,400
1.414893725294816,0.5783533103682542,0.0,1.448292251676321,0.5466308182241062,0.0,1.4508795134723187,0.5304598290100522,0.0,38.4,0.03644014008229073,0.034452514410373836,0.0,0.007459235631151492,0.005676988434026047,0.0,0.009702676370547223,0.007530905594165697,0.0,40.232325311868316,600
1.4406680729514674,0.5686368907162974,0.0,1.4582636021077633,0.5382741084349151,0.0,1.4560331031680107,0.5217345420592903,0.0,21.8,0.029822313504099952,0.01783953053612889,0.0,0.0072165221659425145,0.006235922258566043,0.0,0.0051213412668756125,0.00836235197197985,0.0,36.61365865356807,800
