subject,elec,matfile
662,PO2,2
662,PO3,3
717,LGA10,10
717,LGA11,11
717,LGA17,17
717,LGA18,18
717,LGA19,19
717,LGA25,25
717,LGA26,26
717,LGA27,27
717,LGA36,36
717,LGA37,37
717,LGA38,38
717,LGA39,39
717,LGA40,40
717,LGA44,44
717,LGA46,46
717,LGA47,47
717,LGA48,48
717,LGA7,7
717,LGA9,9
717,LGB106,106
717,LGB107,107
717,LGB108,108
717,LGB112,112
717,LGB113,113
717,LGB114,114
717,LGB115,115
717,LGB116,116
717,LGB117,117
717,LGB119,119
717,LGB120,120
717,LGB121,121
717,LGB122,122
717,LGB123,123
717,LGB124,124
717,LGB126,126
717,LGB66,66
717,LGB67,67
717,LGB71,71
717,LGB72,72
717,LGB74,74
717,LGB75,75
717,LGB78,78
717,LGB79,79
717,LGB80,80
717,LGB81,81
717,LGB82,82
717,LGB86,86
717,LGB87,87
717,LGB88,88
717,LGB92,92
717,LGB93,93
717,LGB94,94
717,LGB95,95
717,LGB96,96
717,LOF3,157
717,LOF4,158
723,LDII10,104
723,LDII6,100
723,LDII7,101
723,LDII8,102
723,LDII9,103
723,LDMT1,81
723,LDMT2,82
723,LDSI10,116
723,LDSI11,117
723,LDSI8,114
723,LDSI9,115
723,LIF11,23
723,LIF3,15
723,LPT1,35
723,LPT2,36
723,LSF12,12
723,LST1,25
723,LST10,34
723,LST7,31
723,LST8,32
741,GA14,14
741,GA23,23
741,GA41,40
741,GA42,41
741,GA44,43
741,GA45,44
741,GA46,45
741,GA47,46
741,GA52,51
741,GA54,53
742,G101,101
742,G102,102
742,G103,103
742,G104,104
742,G108,108
742,G110,110
742,G111,111
742,G113,113
742,G114,114
742,G115,115
742,G116,116
742,G119,119
742,G120,120
742,G121,121
742,G123,123
742,G124,124
742,G125,125
742,G128,128
742,G15,15
742,G16,16
742,G17,17
742,G22,22
742,G23,23
742,G24,24
742,G26,26
742,G30,30
742,G31,31
742,G34,34
742,G35,35
742,G37,37
742,G38,38
742,G39,39
742,G42,42
742,G43,43
742,G44,44
742,G45,45
742,G46,46
742,G48,48
742,G52,52
742,G53,53
742,G54,54
742,G55,55
742,G56,56
742,G59,59
742,G60,60
742,G61,61
742,G63,63
742,G7,7
742,G75,75
742,G76,76
742,G93,93
742,G94,94
742,dMF4,164
742,dMF5,165
742,dPI5,159
743,G11,11
743,G19,19
743,G44,44
743,G45,45
743,G46,46
743,G47,47
743,G53,53
743,G54,54
763,DAMT2,58
763,DPI1,73
763,G15,15
763,G20,20
763,G21,21
763,G22,22
763,G23,23
763,G24,24
763,G31,31
763,G32,32
763,G36,36
763,G44,44
763,G7,7
